date,load
2011-04,134.5187196
2011-05,134.1712872
2011-06,135.3177611
2011-07,133.5680609
2011-08,131.8809009
2011-09,127.1188076
2011-10,126.2054443
2011-11,125.0588483
2011-12,121.994248
2012-01,120.3340219
2012-02,121.242063
2012-03,118.0670453
2012-04,112.5253603
2012-05,105.5211652
2012-06,102.2774687
2012-07,99.73376754
2012-08,101.9929011
2012-09,110.9542063
2012-10,114.2221146
2012-11,114.861453
2012-12,118.149156
2013-01,121.007555
2013-02,123.7723206
2013-03,128.0330482
2013-04,140.8162204
2013-05,139.9765659
2013-06,140.2585705
2013-07,140.9898098
2013-08,145.6496677
2013-09,149.0006254
2013-10,152.9606033
2013-11,151.9296748
2013-12,156.4882945
2014-01,156.1831073
2014-02,156.4176218
2014-03,154.7919872
2014-04,147.3018639
2014-05,141.8010575
2014-06,136.0528237
2014-07,130.2120025
2014-08,120.6346068
2014-09,110.8497202
2014-10,107.1092088
2014-11,102.6417908
2014-12,98.48250282
2015-01,92.39105312
2015-02,95.17096624
2015-03,95.13871594
2015-04,90.58931101
2015-05,89.87995109
2015-06,87.68688158
2015-07,82.20232625
2015-08,79.94961164
2015-09,83.20013452
2015-10,88.0201083
2015-11,80.52290471
2015-12,80.98982101
2016-01,79.3749745
2016-02,78.83776299
2016-03,76.66905329
2016-04,77.14410522
2016-05,72.70320537
2016-06,73.90684559
2016-07,76.01543778
2016-08,81.81047883
2016-09,90.85479263
2016-10,93.75854241
2016-11,94.50275198
2016-12,96.20197055
2017-01,98.55019651
2017-02,99.22637456
2017-03,100.6262388
2017-04,100.0443812
2017-05,104.8306999
2017-06,109.6562267
2017-07,113.895557
2017-08,116.8934883
2017-09,118.3996848
2017-10,115.3678462
2017-11,111.3747396
2017-12,107.2698327
2018-01,105.998144
2018-02,108.757192
2018-03,111.2931874
2018-04,109.9883126
2018-05,111.4192791
2018-06,112.2805641
2018-07,110.1286617
2018-08,108.4579527
2018-09,108.2918586
2018-10,102.8037264
2018-11,99.99313476
2018-12,97.84823706
2019-01,100.9469787
2019-02,103.7642895
2019-03,105.6475341
2019-04,106.1280062
2019-05,106.592841
2019-06,102.8910844
2019-07,101.0642112
2019-08,100.2996521
2019-09,99.63812689
2019-10,100.8202232
2019-11,102.4534845
2019-12,103.5429524
2020-01,103.8447939
2020-02,102.8515643
2020-03,101.524563
2020-04,95.75367239
2020-05,94.42547441
2020-06,98.33259153
2020-07,101.7873638
2020-08,102.1004454
2020-09,102.3182397
2020-10,104.4799346
2020-11,105.3818861
2020-12,109.1856849
2021-01,111.2467226
2021-02,113.0742158
2021-03,117.4598033
